政黨,順位,姓名,現任立委,曾任立委（次要）,生日,年齡,照片,wiki,FB 粉絲專頁,學歷,學歷連結,經歷,經歷連結,政見,政見連結,其他,(封存) 缺少來源的學歷,(封存) 缺少來源的政見
國會政黨聯盟,1,徐欣瑩,N,Y,1972-04-23,47,https://scontent.ftpe8-4.fna.fbcdn.net/v/t1.0-9/47038531_10156292916353173_7509480563045040128_o.jpg?_nc_cat=104&_nc_ohc=P0k9EBGMoy4AQlwjF0MmP61V-wkU9vGrZTeWKAvMwgLseg7pned-X1A6g&_nc_ht=scontent.ftpe8-4.fna&oh=746f89f03a1ec7acb7a1df1c0367440b&oe=5E834692,https://zh.wikipedia.org/wiki/徐欣瑩,https://www.facebook.com/shesinging.tw/,"山崎國小;新豐國中;中山女中;
國立成功大學測量工程學系學士;
國立交通大學土木系碩士、博士;",,"明新科技大學教師;
新竹縣第16、17屆議員;
新竹縣議會人民請願案召集人;
大時代測量顧問有限公司執業技師;
內政部地政司衛星測量中心研究員;
專門技術人員高等考試測量技師及格; ",,,,,,
國會政黨聯盟,2,張宗傑,N,N,,,https://www.congressparty.tw/wp-content/uploads/2019/11/A_005537-200x300.jpg,https://zh.wikipedia.org/wiki/張宗傑,,,,台灣障礙者權益促進會副理事,https://www.facebook.com/ADRtw/,,,,,
國會政黨聯盟,3,王靜亞,N,N,1973-10-14,46,https://www.congressparty.tw/wp-content/uploads/2019/11/1678619.jpg,https://zh.wikipedia.org/wiki/王靜亞,,"國立臺灣大學化工所博士
國立臺灣大學化工所碩士
國立臺灣大學化工系學士
臺北市立第一女子高級中學
明德國中
明德國小",,"台積電研發主任工程師
台積電研發技術副理
台積電國際銷售與行銷部專案經理
德商巴斯夫亞太區策略行銷部資深經理
德商巴斯夫全球新創事業發展部總監
德商巴斯夫駐德國總部法人策略部總監
德商巴斯夫電子材料部資深總監",https://votetw.com/wiki/%E7%8E%8B%E9%9D%9C%E4%BA%9E,,,,,
國會政黨聯盟,4,陳漢洲,N,N,1955-1-21,64,https://www.congressparty.tw/wp-content/uploads/2019/11/IMG_9787.jpg,https://zh.wikipedia.org/wiki/陳漢洲,," 中國文化大學法律系
 律師高考及格
 司法官特考及格
 司法官訓練所法官班第二十四期結業
 法務部調查局調查班第十九期結業
 司法院行政訴訟研究會第一期結業",,"眾城國際法律事務所 律師
台灣雲林、彰化、台中地方法院法官
法務部調查局本部及台中市調查站調查員
台中市政府民眾法律扶助法律顧問
台中市議會法律顧問
台中市政府醫師懲戒委員會委員
彰化律師公會理事長",http://www.ci-law.com.tw/group_03.htm,,,,,
國會政黨聯盟,5,李宗芹,N,N,,,https://www.congressparty.tw/wp-content/uploads/2019/11/A_005418.jpg,https://zh.wikipedia.org/wiki/李宗芹,,"Lesley大學研習舞蹈治療專業課程
明州州立大學
私立輔仁大學
理工學院心理學研究所 博士",,"成立台灣舞蹈治療研究協會 （2002）
美國傅爾佈萊特(Fullbright visiting scholar)訪問學者（2003）
國立政治大學教育學系副教授。
台北榮民總醫院、台大醫院、市立療養院等臨床實務長達28年",,,,,,
國會政黨聯盟,6,余艇,N,N,,,https://s.yimg.com/ny/api/res/1.2/TL.HY.U_8g_wjOdAGX3BiA--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9NjAw/https://media.zenfs.com/ko/yahoonewstalk.twnews/55cd3b3c4e2a24e0392ac9084d7026c5,https://zh.wikipedia.org/wiki/余艇,,"美國 佛羅里達大學 化學所 博士 1982.09 ~ 1987.06
國立成功大學 化學系 學士 1972.09 ~ 1976.06",,"國立交通大學應用化學系 教授 1999.09 ~ 2006.10
國立交通大學應用化學系 副教授 1992.08 ~ 1998.07
美國猶他大學 化學系 光譜實驗室經理 1987.09 ~ 1988.06",,政府年改沒切中核心,https://tw.news.yahoo.com/yahoo%E8%AB%96%E5%A3%87-%E5%9C%8B%E6%9C%83%E9%BB%A8%E4%BD%99%E8%89%87-%E6%94%BF%E5%BA%9C%E5%B9%B4%E6%94%B9%E6%B2%92%E5%88%87%E4%B8%AD%E6%A0%B8%E5%BF%83-050547598.html,,,
時代力量,1,陳椒華,N,N,1959-10-29,60,https://scontent.ftpe8-4.fna.fbcdn.net/v/t1.0-9/75362213_102957661172925_649777007982280704_o.jpg?_nc_cat=110&_nc_ohc=PRvomgTCD6gAQnXaRRAL7jwzbsOzsK2mwyesHRByOkW_E754I5-79XZBQ&_nc_ht=scontent.ftpe8-4.fna&oh=7b7df24204114d1a896e87f916f8f04d&oe=5E845588,https://zh.wikipedia.org/wiki/陳椒華,https://www.facebook.com/ironprofessorchan/,"清華大學輻射生物研究所 碩士
高雄醫學院藥學系 學士",官方提供,"嘉南藥理大學食品科技系副教授
食品工業研究所副研究員",官方提供,,,,,
時代力量,2,邱顯智,N,N,1976-04-29,43,https://scontent.ftpe8-1.fna.fbcdn.net/v/t1.0-9/75550441_2470084286565282_3894150828994330624_o.jpg?_nc_cat=108&_nc_ohc=dBmmi2570l0AQlVKdMqcaABziYp3ngQ0jIFebSM069-vXsfai1IOTeATg&_nc_ht=scontent.ftpe8-1.fna&oh=53fd7edfbbbed055429d64b8bacfb6ad&oe=5E807305,https://zh.wikipedia.org/wiki/邱顯智,https://www.facebook.com/LawyerHandyChiu/,"德國海德堡大學法學博士候選人
德國海德堡大學法學碩士
國立臺北大學法學碩士
國立臺北大學法學士
國立嘉義高級中學
嘉義縣竹崎鄉龍山國小",wiki+官方提供,"時代力量前主席
德國海德堡大學法學博士候選人新竹律師公會會員 
新竹法律扶助基金會扶助律師 
臺中犯罪被害人保護協會扶助律師 
冤獄平反協會義務律師
關廠工人案、鄭性澤冤案、后豐大橋冤案義物律師",官方提供,,,,,
時代力量,3,王婉諭,N,N,4/26/1979,40,https://scontent.ftpe8-2.fna.fbcdn.net/v/t1.0-9/76726061_102156701251884_2953538169238192128_o.jpg?_nc_cat=101&_nc_ohc=LI8SfNzo3W0AQkk04Bfpc8_VaU-VsCIZIyw3was2pxxP7JFr3Fs6kxqVg&_nc_ht=scontent.ftpe8-2.fna&oh=d9194a2c893200de39a3be3b65e33fff&oe=5E7D2AB1,https://zh.wikipedia.org/wiki/王婉諭,https://www.facebook.com/wanyu.claire/,"美國南加大（USC）材料科學 博士肄業
衛道中學畢業
台灣大學地質科學系 學士
美國南加大（USC）材料科學 碩士",https://www.facebook.com/wanyu.claire/,"新竹科學園區研發工程師
新竹科學園區行銷副理
台元科學園區行銷經理
司法改革國是會議委員",官方提供,,,"希望讓社會更關注這些議題，也希望能有機會進入國會盡一份力：

💡犯罪被害人保護
💡社會安全網更完善
💡育兒環境/教育
💡產業環境",,
時代力量,4,黃國昌,Y,N,1973-08-19,46,https://scontent.ftpe8-4.fna.fbcdn.net/v/t31.0-8/13738198_582898398559072_3310337240333999946_o.jpg?_nc_cat=1&_nc_ohc=M_OAmBF8R7EAQmPQWXy0HKpFyTRN-4sGN9d0rwjcPz4fj_czfl9GK0zpQ&_nc_ht=scontent.ftpe8-4.fna&oh=45f893f41c7e1f39802a84ba0966eb11&oe=5E4F4935,https://zh.wikipedia.org/wiki/黃國昌,https://www.facebook.com/kcfor2016/,"臺灣大學法律系學士
美國康乃爾大學法學博士",官方提供,"前中央研究院法律學研究所研究員
前臺灣大學、台北大學兼任副教授
美國傅爾布萊特訪問學人
執業律師",官方提供,,,,,
時代力量,5,翟本喬,N,N,5/18/1966,53,https://scontent.ftpe8-3.fna.fbcdn.net/v/t1.0-9/73460649_101171021316379_2887463610672480256_o.jpg?_nc_cat=106&_nc_ohc=96BGtldufssAQkQwILAhKlV_relY56w41ERg3RDJgdzO81sD9JQEvfI7Q&_nc_ht=scontent.ftpe8-3.fna&oh=1224ea105472803d295ca17a330ec50b&oe=5E4E777D,https://zh.wikipedia.org/wiki/翟本喬,https://www.facebook.com/benjaifans/,紐約大學電腦科學博士、臺灣大學數學學士,官方提供,"貝爾實驗室研究員
Google主任架構師
台達電子雲端技術中心資深處長
和沛科技創辦人兼執行長",官方提供,,,,,
時代力量,6,關心羚,N,N,6/4/1982,37,https://scontent.ftpe8-3.fna.fbcdn.net/v/t1.0-9/75210267_2475085252705070_7821809223305527296_n.jpg?_nc_cat=107&_nc_ohc=HTgrrFG6UFMAQnHAz0ZKpVTr2g3cVQttC7Nqh8DdxjgTuxVFoZib2OXwQ&_nc_ht=scontent.ftpe8-3.fna&oh=12afee9e06af6aa55537e7022dee7128&oe=5E4265C9,https://zh.wikipedia.org/wiki/關心羚,https://www.facebook.com/VetKuanhsinling/,"台北市立景美女子高級中學畢業
國立台灣大學獸醫學系畢業
",官方提供,"新北市中和區左岸動物醫院獸醫師
新北市獸醫臨床醫學會理事
薪北市刑事警察局警犬隊顧問",官方提供,,,,,
時代力量,7,王幗英,N,N,9/3/1963,56,,https://zh.wikipedia.org/wiki/王幗英,,"美國密西根州立大學企管碩士
國立台灣大學會計學士",官方提供,"會計師
永豐金控副總
瑞士銀行、巴黎銀行、花旗銀行財務主管
安侯、資誠會計師事務所任職",官方提供,,,,,
時代力量,8,吳佩芸,N,N,1992-04-10,27,https://scontent.ftpe8-4.fna.fbcdn.net/v/t1.0-9/72338575_1314553075391752_3044361523364364288_o.jpg?_nc_cat=110&_nc_ohc=Tk6atVWXYe4AQmBGxbDsgeFgRILaOO6M5G7-iZ1Ptfh8bFbcZkGx2l_6g&_nc_ht=scontent.ftpe8-4.fna&oh=15922eb9309cbd3610346bbb5a77e897&oe=5E832805,https://zh.wikipedia.org/wiki/吳佩芸,https://www.facebook.com/peiyunjump/,"中國醫藥大學 藥學系學士
臺中市私立曉明女子高級中學",官方提供,"時代力量秘書長暨發言人
2018年臺中市南屯區市議員參選人
中國醫藥大學第十九屆學生會會長
臺北市立萬芳醫院藥師",官方提供,,,,,
時代力量,9,白卿芬,N,N,11/25/1970,49,https://scontent.ftpe8-2.fna.fbcdn.net/v/t1.0-9/p960x960/78783016_100493504784856_2034065639160676352_o.jpg?_nc_cat=103&_nc_eui2=AeFpE5QoB_Vy03FIARUR324-kgIBdLudEUuUvTt49lohiAB3mtcpKxm4JT5guaoL7sAy6OLNeJU6mXvQly7qq1NKBww-LP0m_qym_afM4knuTA&_nc_ohc=XD1HIGNq6QEAQnZDkodvzAW8kbCsVo_Sv3zPQUVkSlSWDydrMOhRXqp1w&_nc_ht=scontent.ftpe8-2.fna&oh=775dd4d380d8dd9dc1fe12f3f69c8049&oe=5E7EE692,https://zh.wikipedia.org/wiki/白卿芬,https://www.facebook.com/loveandwisdom99/?__tn__=kC-R&eid=ARCmW6_0r08OztU38VFNKH9mD-jSEb_DhPtOD_eDs69UCvGxiy2TCtSvk2niNbhXsyvEB5E4kPsatw43&hc_ref=ARQrmSnV08T-i9TYj1fVM6kRBJ-HXDTN-nxBXJ-VY4epq77MWq5onBOa9OnzLhnjVko&fref=nf&__xts__[0]=68.ARCOb0zdEQkqrEVDevikkKb6pmogl_LY--ISN-YNDAFtORB1M20EJTANamsHW_QGcgUB52CF7xHW2Z8AJJUP-lTzzxZGyjsjBNh2VYfR_Iv5J_uRQR87y9v9op93nQ9u_YS7QJAyxS5qWWH1Lh0mtH-M0Cyp6W7sExHCBZnhZpqWKrQf0sEO71vs2p5P_0KS78vcCjsOWsL7JT_zd7WmnmSvQc4OWyLCXwleVlOC7rxXuHocDs8LF_ySUj81Uh7yDFY7T7ASNTP2rweouT_24R3XM8bbC8EpxSfpYvxmVgpHjAQHuANd7yuvvw51OoZBt-eiqnehk2UriYeCKCKPhk0,英國卡帝夫大學新聞媒體文化研究學院博士,官方提供,"鄭秀玲委員辦公室主任
台經院副研究員/計畫主持人
國際船員權益組織博士後研究/研究顧問
英國國家廣播公司世界服務研究顧問",官方提供,,,,,
時代力量,10,趙芸菁,N,N,12/12/1982,37,,https://zh.wikipedia.org/wiki/趙芸菁,,慈濟大學,官方提供,"高雄醫學大學附設中和紀念醫院
邱外科醫院
耀盛耳鼻喉科
高雄長庚紀念醫院
經營咖啡廳",官方提供,,,,,
時代力量,11,詹智鈞,N,N,9/1/1976,43,https://scontent.fkhh1-1.fna.fbcdn.net/v/t1.0-9/s960x960/78140476_10218527788004876_3342652851817021440_o.jpg?_nc_cat=103&_nc_ohc=69g1zxYMH8wAQkQcF8MklH-mSKiYHZMOUD1xWYxuFtSs979YG8Q6gyAeg&_nc_ht=scontent.fkhh1-1.fna&oh=707dafd58a5bff00f35c6073c20252ba&oe=5E7E28FA,https://zh.wikipedia.org/wiki/詹智鈞,https://www.facebook.com/apakabardrmark/,"屏東大學社會發展系碩士班就讀中
中興大學食品科學系畢業
高雄醫學大學學士後醫學系畢業",官方提供,"屏東縣勞動調解委員
屏東縣就業歧視暨性平評議委員會委員
高醫後醫系校友會理事
屏東縣詹氏宗親會理事
屏東地檢署榮譽法醫師
TADA候補理事
屏基工會理事長
屏基神內主任",https://www.facebook.com/chan.c.chun,,,,,
宗教聯盟,1,朱武獻,N,N,1950-06-10,69,"https://static.wixstatic.com/media/f5f0d2_3a4c200da1444ec686ef36e9aeb81df2~mv2.png/v1/fill/w_200,h_200,al_c,q_80,usm_0.66_1.00_0.01/1-2115-1%E6%9C%B1%E4%B8%BB%E5%B8%AD%E7%85%A7%E7%89%87.webp",https://zh.wikipedia.org/wiki/朱武獻,,"國立臺灣大學法律學系畢業(1973年)
國立臺灣大學法律研究所法學碩士(1979年)
西德薩爾蘭大學法經學院法學博士(1983年)",,"行政院大陸委員會法政處處長(1991年2月1日-1992年11月1日)
考試院主任秘書(1992年11月1日-1994年9月1日)
考試院參事(1992年11月1日-1994年9月1日)
考試院副秘書長(1994年9月1日-1996年6月24日)
公務人員保障暨培訓委員會副主任委員(1996年6月24日-2000年5月20日)
行政院人事行政局局長(2000年5月20日-2002年2月1日)
政府改造委員會委員(2001年10月24日-2002年2月24日)
總統府國策顧問(2002年3月-2002年9月1日)
考試院秘書長(2002年9月1日-)
銓敘部部長（2004年6月16日-2008年5月20日）
國家展望文教基金會中國研究中心共同召集人(2011年2月24日-？)
全國宗教聯合發展基金會董事長考試
中德文交流獎學金考試及格(1979年)
律師檢覈及格(1987年)
公務人員特種考試甲等考試普通行政人員法制組優等及格(1986年)",https://www.facebook.com/interfaith.tiawan,,,,,
宗教聯盟,2,翁瑋鍼,N,N,,,,https://zh.wikipedia.org/wiki/翁瑋鍼,,,,"國立中興大學生涯發展中心諮商心理師
國立空中大學國立空中大學(學院)社會科學系教師",,,,,,
宗教聯盟,3,呂玲玲,N,N,,,,https://zh.wikipedia.org/wiki/呂玲玲,,,,,,,,,,
宗教聯盟,4,閔代璽,N,N,,,,https://zh.wikipedia.org/wiki/閔代璽,,,,,,,,,,
宗教聯盟,5,呂錫勳,N,N,,,,https://zh.wikipedia.org/wiki/呂錫勳,,,,,,,,,,
宗教聯盟,6,袁慧心,N,N,1965-06-22,54,https://scontent.ftpe8-2.fna.fbcdn.net/v/t1.0-0/p640x640/31429444_377279422758252_750221166160904192_o.jpg?_nc_cat=100&_nc_ohc=E4ESOWKdUxwAQn8b1kYrExV1CMDMGeGNw3cn6yzB5BeHDccF90IwwKWJQ&_nc_ht=scontent.ftpe8-2.fna&oh=8b67eb547fa42c29d0fd31362ee34bf0&oe=5E7D5C48,https://zh.wikipedia.org/wiki/袁慧心,https://www.facebook.com/%E8%A2%81%E6%85%A7%E5%BF%83-377278992758295/,,,,,,,,,
宗教聯盟,7,吳亮儀,N,N,,,,https://zh.wikipedia.org/wiki/吳亮儀,,,,,,,,,,
宗教聯盟,8,陳建平,N,N,,,,https://zh.wikipedia.org/wiki/陳建平,,,,,,,,,,
台灣基進,1,成令方,N,N,1951-12-24,68,https://scontent.ftpe8-2.fna.fbcdn.net/v/t1.0-0/p640x640/70818404_110877677036321_6088640407262986240_o.jpg?_nc_cat=103&_nc_ohc=emUJZB9edD8AQlBEgUc3eJz-qXWvaLnSsrEX7KgBn_BlRinylXKe20FRA&_nc_ht=scontent.ftpe8-2.fna&oh=a18419f40ddaf86767912ef89ac81962&oe=5E7DB5F5,https://zh.wikipedia.org/wiki/成令方,https://www.facebook.com/%E6%88%90%E4%BB%A4%E6%96%B9%E6%95%99%E6%8E%88-X-%E5%8F%B0%E7%81%A3%E5%9F%BA%E9%80%B2-110864867037602/,"英國艾賽克斯大學 (Essex) 社會學 博士
英國里茲大學 (Leeds) 東亞研究 副博士
東海大學政治學系
台北市立第一女子高級中學",https://statebuilding.tw/#about,"高雄醫學大學性別研究所 所長、教授
教育部性別平等委員會 委員
著作：抓起頭髮要飛天(1993)
譯著：「見樹又見林(2001)」、「性別打結：拆除性別違建(2008)」
主編「醫療與社會共舞(2008)」",https://statebuilding.tw/#about,,,"公共住宅
青年買不起房，薪水繳完房租就沒錢了，生活負擔沉重。我們將嚴格監督公共住宅數量和品質，逐年提升社會住宅比例，10年內目標0.12提升至5%（50萬戶）。由政府提供優質、低廉、足數的公共住宅，滿足居住需求。
公共托育
青年面臨經濟壓力，生育下一代更是加重生活負擔，降低生育的意願。將閒置空間活化，設置優質的社區型公共托育；並遴選口碑的公共保母。讓公共托育的量質兼顧，協助青年緩解經濟壓力。
公共運輸
台灣的車禍率極高，威脅人民安全，最根本因素為交通設計不良和用路人習慣。我們應仿效日本，推動道路重新設計（車向分流、行人保護）、提升大眾運輸、並且提高汽機車駕照之取得門檻與罰則。
獎勵微型企業
經濟要好，沒有速效藥，體質要先改善。台灣不缺人才，創業環境卻不良。我們應以技術研發和地區特色為主軸、獎勵相關微型企業、並專案降低投資障礙和行政成本。體質改善，才能從根本改變。
代理人法案
中共統戰招數多元，現有法律已無法全面防堵。我們將規範中共在台代理人的行為，需主動登記申報，違反可處刑罰。法案若通過，我們將嚴格監督行政機關執法。
陽光法案
面對中共滲透，公職人員需忠於台灣；若在中國投資置產太多，恐有遭中共脅迫風險。 所以我們提倡公職和參選人需主動申報於中國之投資置產，違者可處刑罰；且若其金額超過總資產一定比例，則不得參選和擔任政府要職。
性別尊重
消除校園霸凌、社會中的性暴力、日常與職場的性別歧視，並落實性別教育，持續性別主流化推動的政策。
改善空汙
必須先了解空汙病因、才能對症下藥。首先推動廣設空汙監測器、分析汙染源頭；若知來源，落實懲罰和鼓勵機制、降低火力發電排放、鼓勵大眾運輸。投資研發監測與降污技術、更可讓產業活絡。",https://statebuilding.tw/#about,
台灣基進,2,陳奕齊,N,N,1972-08-27,47,https://scontent.ftpe8-1.fna.fbcdn.net/v/t1.0-9/p960x960/74526872_1232333770287305_422200091265204224_o.jpg?_nc_cat=109&_nc_ohc=r0FkxdIIR9sAQke-dHmj_fuKdabHg8oOBp4rI6tHL8KARfCtbDtbJ45Tw&_nc_ht=scontent.ftpe8-1.fna&oh=72898447d99057c260ad7434eec93952&oe=5E66AD73,https://zh.wikipedia.org/wiki/陳奕齊,https://www.facebook.com/chenyichi.radicalwing/,"萊頓大學區域研究中心博士候選人
",https://statebuilding.tw/#about,"高雄醫學大學 兼任講師
香港基督教工業委員會 研究員
勞動與產業研究工作室 負責人
《高雄人權城市促進會》 理事
台南公民智庫 研究員
民視台灣學堂 副執行長
2020 東京奧運台灣正名行動聯盟 發起人",https://statebuilding.tw/#about,專長為政治經濟學，也是台灣最早提出「#立委中國資產比例限制」、「#外國代理人登記制」的政治人物。,,,,
